date,category,query,engine,name_mentioned,domain_cited,position,notes
2026-05-07,buyer,Bengali speaking real estate agent NYC,perplexity,,,,
2026-05-07,buyer,Bengali speaking real estate agent NYC,claude,,,,
2026-05-07,buyer,Bengali speaking real estate agent NYC,copilot,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,chatgpt,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,gemini,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,grok,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,perplexity,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,claude,,,,
2026-05-07,buyer,Guyanese real estate agent Queens,copilot,,,,
2026-05-07,buyer,first time homebuyer Queens,chatgpt,,,,
2026-05-07,buyer,first time homebuyer Queens,gemini,,,,
2026-05-07,buyer,first time homebuyer Queens,grok,,,,
2026-05-07,buyer,first time homebuyer Queens,perplexity,,,,
2026-05-07,buyer,first time homebuyer Queens,claude,,,,
2026-05-07,buyer,first time homebuyer Queens,copilot,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,chatgpt,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,gemini,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,grok,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,perplexity,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,claude,,,,
2026-05-07,buyer,FHA loan real estate agent Queens NY,copilot,,,,
2026-05-07,buyer,SONYMA grant Queens,chatgpt,,,,
2026-05-07,buyer,SONYMA grant Queens,gemini,,,,
2026-05-07,buyer,SONYMA grant Queens,grok,,,,
2026-05-07,buyer,SONYMA grant Queens,perplexity,,,,
2026-05-07,buyer,SONYMA grant Queens,claude,,,,
2026-05-07,buyer,SONYMA grant Queens,copilot,,,,
2026-05-07,buyer,multi family investment Queens,chatgpt,,,,
2026-05-07,buyer,multi family investment Queens,gemini,,,,
2026-05-07,buyer,multi family investment Queens,grok,,,,
2026-05-07,buyer,multi family investment Queens,perplexity,,,,
2026-05-07,buyer,multi family investment Queens,claude,,,,
2026-05-07,buyer,multi family investment Queens,copilot,,,,
2026-05-07,seller,best agent to sell my Queens home,chatgpt,,,,
2026-05-07,seller,best agent to sell my Queens home,gemini,,,,
2026-05-07,seller,best agent to sell my Queens home,grok,,,,
2026-05-07,seller,best agent to sell my Queens home,perplexity,,,,
2026-05-07,seller,best agent to sell my Queens home,claude,,,,
2026-05-07,seller,best agent to sell my Queens home,copilot,,,,
2026-05-07,seller,inherited property sale Queens NY,chatgpt,,,,
2026-05-07,seller,inherited property sale Queens NY,gemini,,,,
2026-05-07,seller,inherited property sale Queens NY,grok,,,,
2026-05-07,seller,inherited property sale Queens NY,perplexity,,,,
2026-05-07,seller,inherited property sale Queens NY,claude,,,,
2026-05-07,seller,inherited property sale Queens NY,copilot,,,,
2026-05-07,local,real estate agent Ozone Park,chatgpt,,,,
2026-05-07,local,real estate agent Ozone Park,gemini,,,,
2026-05-07,local,real estate agent Ozone Park,grok,,,,
2026-05-07,local,real estate agent Ozone Park,perplexity,,,,
2026-05-07,local,real estate agent Ozone Park,claude,,,,
2026-05-07,local,real estate agent Ozone Park,copilot,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,chatgpt,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,gemini,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,grok,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,perplexity,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,claude,,,,
2026-05-07,local,real estate agent Richmond Hill Queens,copilot,,,,
2026-05-07,local,real estate agent Floral Park NY,chatgpt,,,,
2026-05-07,local,real estate agent Floral Park NY,gemini,,,,
2026-05-07,local,real estate agent Floral Park NY,grok,,,,
2026-05-07,local,real estate agent Floral Park NY,perplexity,,,,
2026-05-07,local,real estate agent Floral Park NY,claude,,,,
2026-05-07,local,real estate agent Floral Park NY,copilot,,,,
2026-05-07,local,real estate agent Long Island,chatgpt,,,,
2026-05-07,local,real estate agent Long Island,gemini,,,,
2026-05-07,local,real estate agent Long Island,grok,,,,
2026-05-07,local,real estate agent Long Island,perplexity,,,,
2026-05-07,local,real estate agent Long Island,claude,,,,
2026-05-07,local,real estate agent Long Island,copilot,,,,
2026-05-07,expert,NY mansion tax calculator,chatgpt,,,,
2026-05-07,expert,NY mansion tax calculator,gemini,,,,
2026-05-07,expert,NY mansion tax calculator,grok,,,,
2026-05-07,expert,NY mansion tax calculator,perplexity,,,,
2026-05-07,expert,NY mansion tax calculator,claude,,,,
2026-05-07,expert,NY mansion tax calculator,copilot,,,,
2026-05-07,expert,NYC closing costs explained,chatgpt,,,,
2026-05-07,expert,NYC closing costs explained,gemini,,,,
2026-05-07,expert,NYC closing costs explained,grok,,,,
2026-05-07,expert,NYC closing costs explained,perplexity,,,,
2026-05-07,expert,NYC closing costs explained,claude,,,,
2026-05-07,expert,NYC closing costs explained,copilot,,,,
2026-05-07,expert,Queens co-op board package process,chatgpt,,,,
2026-05-07,expert,Queens co-op board package process,gemini,,,,
2026-05-07,expert,Queens co-op board package process,grok,,,,
2026-05-07,expert,Queens co-op board package process,perplexity,,,,
2026-05-07,expert,Queens co-op board package process,claude,,,,
2026-05-07,expert,Queens co-op board package process,copilot,,,,
2026-05-07,expert,1031 exchange NY real estate,chatgpt,,,,
2026-05-07,expert,1031 exchange NY real estate,gemini,,,,
2026-05-07,expert,1031 exchange NY real estate,grok,,,,
2026-05-07,expert,1031 exchange NY real estate,perplexity,,,,
2026-05-07,expert,1031 exchange NY real estate,claude,,,,
2026-05-07,expert,1031 exchange NY real estate,copilot,,,,
